ID,text,user_followers_count,user_friends_count,user_location
146,"me siento decepcionada con Eloise, al no descubrir la identidad de Pen, teniendo todas las pruebas en frente😒

Pero recuerdo que los Bridgerton son ciegos y se me pasa la decepción

#Bridgerton https://t.co/IWvHNtKKYD",525,871,Argentina
147,"RT @SeriesReporter: Daphne viendo todas las interacciones de Anthony y Kate: 

#Bridgerton #bridgertonseason2 https://t.co/HjAwwyPTEd",248,760,
148,"Je viens de finir la saison deux, j’ai chialé comme un gros bébé #Bridgerton",330,308,"Marseille, France"
149,"RT @BridGabi: SPOILER #Bridgerton
.
.
.
.
.
.
.
.
.
.
não sei vocês, mas todas as cenas que colocaram aquele som de coração batendo acelerado O MEU CORAÇÃO BATEU EXATAMENTE ASSIM, ESPECIALMENTE NESSA. PENSEI QUE EU FOSSE EXPLODIR, A TENSÃO!!! ELES ESTAVAM SEPARADOS POR MILÍMETROS 🗣️🗣️🗣️ https://t.co/l6l3yRIhD0",2509,231,
150,Omg eps 5 of #Bridgerton #bridgerton2 oh my lord. 🥵🤯😳😤😤😤😤😤😤 that’s all I’ll say. 😏,833,3838,Ft. Lauderdale
151,RT @byungerking: agora que lançou a segunda temporada eu já quero a temporada de o visconde de que amava 😍 #Bridgerton,144,218,linda inteligente e violenta
152,Lmao Colin knew what he was doing with that game. #Bridgerton #BridgertonS2,113,530,Dante's inferno
153,"RT @duquesabooks: -¿Por qué tan elegante,Homero?
-Hoy se estrena la 2da temporada de Bridgerton, muchacho.

#Bridgerton https://t.co/gi2rkdNJyJ",1156,1614,
154,"THIS MFKAJA I WOULD LOVE A MAN WHO KEEPS BOOK FOR ME TO KNOW MY THOUGHTS?!! 

#Bridgerton https://t.co/kRGyXdAa5j",2566,4459,
155,"Não que a série esteja ruim, mas achei nada a ver o Anthony subir ao altar com a Edwina #Bridgerton",2134,698,"Bahia, Brasil"
156,"RT @bordeauxxx_: Not Anthony becoming the biggest lovesick poet after Kate♥️✨

So ironic when thinking of when he told Benedict he didn’t want to choose his wife w his “heart”😭

Never say never💃🏻

#Bridgerton   #bridgertonseason2 #bridgerton2 https://t.co/tNG4b5apL4",1905,1832,🇵🇭
157,"RT @lovejoylocket: Me in any social situation 

#Bridgerton #bridgertonnetflix #bridgertonseason2 https://t.co/89KIgsk5ue",2664,1301,Jinki's
158,"RT @Lad_Whistledown: ENTREGUEM O PRÊMIO PRA ELA

#Bridgerton https://t.co/ziaRuUwQUu",926,819,jesus
159,"RT @SoyEllen1: O brilho da Daphne sumindo ao ver que a Kate não era a Edwina
Daphne eu te amo KKKKKKKKKKK
#Bridgerton https://t.co/lKIYrBkiph",2027,2115,ᥫ᭡hero•jo
160,"RT @Lad_Whistledown: ENTREGUEM O PRÊMIO PRA ELA

#Bridgerton https://t.co/ziaRuUwQUu",3636,2983,she/her
161,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",7946,8683,crf • fcbm • cfc • rmcf • patriots • isles • lakers
162,"RT @Lad_Whistledown: ENTREGUEM O PRÊMIO PRA ELA

#Bridgerton https://t.co/ziaRuUwQUu",219,498,"Ego Ajans, İstanbul, Türkiye"
163,"Amoooooo la nueva historia chao, hoy me quedo hasta las 5 y termino la temporada #Bridgerton",341,324,Panem
164,"RT @eyestanchaos: Daphne knew the moment Anthony helped Kate, it was all over 

#Bridgerton #Bridgerton2 
#bridgertonseason2 https://t.co/fQqkqcZYkr",1905,1832,🇵🇭
165,RT @NoContxtBR: THE #Kanthony HASHTAG HAS THE MALLET OF DEATH AND ANTHONY'S PINK MALLET!!!! #Bridgerton https://t.co/2HZk4tRCfQ,2664,1301,Jinki's
166,"RT @nancyswheeIer: “you are the bane of my existence and the object of all my desires.” 

#bridgerton https://t.co/oiMklX09gE",2320,2131,Dunder Mifflin
